 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 19
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513275E+09   0.226556E+05   0.360575E+04
    2   0.513275E+09   0.226556E+05   0.360575E+04
    3   0.181452E+11   0.134704E+06   0.214388E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      1011  2.8062E-04 -8.4511E-05 -8.3991E-05  9.8090E-05  9.1232E-08 -1.5933E-05
      1012  2.3354E-04 -7.0443E-05 -6.9821E-05  9.3050E-05  1.0899E-07 -1.5114E-05
      1013  1.9210E-04 -5.8074E-05 -5.7353E-05  8.6201E-05  1.2529E-07 -1.4005E-05
      1014  1.5066E-04 -4.5705E-05 -4.4885E-05  7.9352E-05  1.4158E-07 -1.2896E-05
      1015  1.1668E-04 -3.5573E-05 -3.4654E-05  7.0574E-05  1.5955E-07 -1.1472E-05
      1016  8.2707E-05 -2.5441E-05 -2.4422E-05  6.1796E-05  1.7752E-07 -1.0049E-05
      1017  5.8092E-05 -1.8142E-05 -1.6986E-05  5.1015E-05  2.0130E-07 -8.3021E-06
      1018  3.3477E-05 -1.0844E-05 -9.5497E-06  4.0234E-05  2.2508E-07 -6.5554E-06
      1019  2.0080E-05 -6.8774E-06 -5.5070E-06  2.7413E-05  2.4447E-07 -4.4158E-06
      1020  6.6834E-06 -2.9110E-06 -1.4643E-06  1.4593E-05  2.6385E-07 -2.2762E-06
      1021  6.6834E-06 -2.9110E-06 -1.4643E-06  1.4593E-05  2.6385E-07 -2.2762E-06
      1051  7.1660E-04 -1.8634E-04 -1.6859E-04  1.0226E-04 -1.2241E-05  2.9766E-05
      1053  6.8262E-04 -1.8864E-04 -1.8034E-04  1.0861E-04 -5.8475E-06  7.2498E-06
      1055  5.9259E-04 -1.7569E-04 -1.7670E-04  1.1445E-04  2.4819E-07 -1.6843E-05
      1057  4.8333E-04 -1.4480E-04 -1.4508E-04  1.1195E-04  6.1802E-09 -1.8132E-05
      1059  3.7892E-04 -1.1387E-04 -1.1351E-04  1.0654E-04  6.7702E-08 -1.7298E-05
      1061  2.8062E-04 -8.4511E-05 -8.3991E-05  9.8090E-05  9.1232E-08 -1.5933E-05
      1063  1.9210E-04 -5.8074E-05 -5.7353E-05  8.6201E-05  1.2529E-07 -1.4005E-05
      1065  1.1668E-04 -3.5573E-05 -3.4654E-05  7.0574E-05  1.5955E-07 -1.1472E-05
      1067  5.8092E-05 -1.8142E-05 -1.6986E-05  5.1015E-05  2.0130E-07 -8.3021E-06
      1069  2.0080E-05 -6.8774E-06 -5.5070E-06  2.7413E-05  2.4447E-07 -4.4158E-06
      1071  6.6834E-06 -2.9110E-06 -1.4643E-06  1.4593E-05  2.6385E-07 -2.2762E-06
      1101 -1.1251E-04  2.6803E-05  2.8924E-05  1.0829E-04 -1.4163E-05 -1.4696E-05
      1102 -1.1251E-04  2.6803E-05  2.8924E-05  1.0829E-04 -1.4163E-05 -1.4696E-05
      1103 -1.0718E-04  2.8471E-05  2.9463E-05  1.1165E-04 -6.7657E-06 -1.5151E-05
      1104 -1.0184E-04  3.0139E-05  3.0002E-05  1.1500E-04  6.3168E-07 -1.5606E-05
      1105 -9.3041E-05  2.7724E-05  2.7604E-05  1.1427E-04  2.8716E-07 -1.5507E-05
      1106 -8.4239E-05  2.5309E-05  2.5206E-05  1.1354E-04 -5.7354E-08 -1.5408E-05
      1107 -7.5887E-05  2.2774E-05  2.2740E-05  1.1155E-04  7.1506E-09 -1.5137E-05
